ID;DistributionTypes;EstateTypes;EstateSubTypes;ClassifiedBusiness;NumberOfRoomsMin;NumberOfRoomsMax;NumberOfBedroomsMin;NumberOfBedroomsMax;PriceMin;PriceMax;YearOfConstructionMin;YearOfConstructionMax;CertificateOfEligibilityNeeded;IsSaleGoodwill;FeaturesIncluded;BuildStates;LocationsInBuildingIncluded;LocationsInBuildingExcluded;Furnished;ProjectTypes;HiddenProjectTypes;EnergyCertificateClass;PagingOrder
86617;Buy;Apartment;;;2;2;;;;;;;;;;;;;;;"New_Build,Resale,Life_Annuity";;PriceAsc
47974;Buy;Storage_Production;;;;;;;;;;;;;;;;;;;;;DateDesc
57377;Rent;Apartment;;;4;4;;;;;;;;;;;;;;;"Flatsharing,Stock";;DateDesc
20514;Buy;Gastronomy_Hotel;Cafe_Bar_Pub;;;;;;;;;;;;;;;;;;;;DateDesc
45442;Rent;House;Bungalow;;;;;;;;;;;;;;;;;;;;DateDesc
77850;Buy;House;Chalet;;;;;;;;;;;;;Need_Of_Renovation;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
16282;Buy;Apartment;;;;;;;;;;;;;Seaside;;;;;;"New_Build,Resale,Life_Annuity";;NumberOfRoomsAsc
10390;Buy;House;;;;;;;;;;;;;;;;;;Life_Annuity;;;DateDesc
18987;Rent;House;Town_House;;;;;;;;;;;;;;;;;;;;DateDesc
49184;Buy;Apartment;"Loft,Loft_Atelier";;;;;;;;;;;;;;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
62009;Buy;Apartment;"Loft,Loft_Atelier";;;;;;;;;;;;;Need_Of_Renovation;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
87249;Buy;Apartment;;;;;;;;;;;;;Elevator;;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
79558;Buy;Apartment;;;3;3;;;;;;;;;Balcony_Terrace;;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
23987;Buy;House;;;;;;;;;;;;;Cellar;;;;;;"New_Build,Projected,Resale,Life_Annuity";;DateDesc
31013;Rent;House;;;;;4;4;;;;;;;;;;;;;;;DateDesc
53965;Rent;Apartment;;;1;1;;;;;;;;;;;;;Full;;"Flatsharing,Stock";;DateDesc
76264;Buy;Agriculture_Forestry;Forestry;;;;;;;;;;;;;;;;;;;;DateDesc
78535;Buy;Apartment;;;;;5;5;;;;;;;;;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
67357;Buy;Apartment;;;;;1;1;;;;;;;;;;;;;"New_Build,Resale,Life_Annuity";;DateDesc
41007;Buy;"House,Apartment";;;;;;;;;;;;;;;;;;"New_Build,Life_Annuity";;;DateDesc
33584;Buy;Plot;;;;;;;;;;;;;;;;;;;;;DateDesc
21240;Rent;Plot;;;;;;;;;;;;;;;;;;;;;DateDesc
65736;Rent;Trading;Store;;;;;;;;;;;;;;;;;;;;DateDesc
34362;Buy;"Trading,Gastronomy_Hotel";;;;;;;;;;;;True;;;;;;;;;DateDesc
43456;Rent;House;;;;;3;3;;;;;;;;;;;;;;;DateDesc
