ContextId,GeoLevels,LegacyUrlPattern,ExampleUrl
52401,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/wohnungen/kaufen?roomi=3&rooma=3,https://immowelt.de/suche/deutschland/wohnungen/kaufen?roomi=3&rooma=3
53765,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/haeuser/kaufen/zweifamilienhaus,https://immowelt.de/suche/deutschland/haeuser/kaufen/zweifamilienhaus
53895,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/immobilien/mk,https://immowelt.de/suche/deutschland/immobilien/mk
54083,Country|Region|Province|Municipality|Borough,/suche/{0}/hallen-industrieflaechen/mieten,https://immowelt.de/suche/deutschland/hallen-industrieflaechen/mieten
54706,Country|Region|Province|Municipality|Borough,/suche/{0}/gastronomie-hotels/mieten/wl-only,https://immowelt.de/suche/deutschland/gastronomie-hotels/mieten/wl-only
55202,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/haeuser/mieten/bungalow,https://immowelt.de/suche/deutschland/haeuser/mieten/bungalow
55706,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/wohnungen/mieten/moeblierte-wohnung,https://immowelt.de/suche/deutschland/wohnungen/mieten/moeblierte-wohnung
56225,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/renditeobjekte/kaufen,https://immowelt.de/suche/deutschland/renditeobjekte/kaufen
56784,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/studentenwohnungen,https://immowelt.de/suche/deutschland/studentenwohnungen
56945,Country|Region|Province|Municipality|Borough,/suche/{0}/gastronomie-hotels/mieten/cafe,https://immowelt.de/suche/deutschland/gastronomie-hotels/mieten/cafe
57439,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/wohnungen/kaufen/maisonette,https://immowelt.de/suche/deutschland/wohnungen/kaufen/maisonette
57899,Region,/suche/{0}/landwirtschaft-forstwirtschaft/mk/wl-only-huntingfishing,https://immowelt.de/suche/bl-bayern/landwirtschaft-forstwirtschaft/mk/wl-only-huntingfishing
58640,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/landwirtschaft-forstwirtschaft/kaufen,https://immowelt.de/suche/deutschland/landwirtschaft-forstwirtschaft/kaufen
59151,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/haeuser/kaufen/luxushaus,https://immowelt.de/suche/deutschland/haeuser/kaufen/luxushaus
59408,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/dachgeschosswohnungen,https://immowelt.de/suche/deutschland/dachgeschosswohnungen
60249,Country|Region|Province|Municipality|Borough,/suche/{0}/haeuser/kaufen/haus-mit-terrasse,https://immowelt.de/suche/deutschland/haeuser/kaufen/haus-mit-terrasse
60487,Country|Region|Province|Municipality|Borough,/suche/{0}/buero-praxisflaechen/mieten/atelier,https://immowelt.de/suche/deutschland/buero-praxisflaechen/mieten/atelier
61078,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/garage-stellplatz/mieten,https://immowelt.de/suche/deutschland/garage-stellplatz/mieten
62384,Country|Region|Province|Municipality|Borough,/suche/{0}/haeuser/mieten/haus-mit-garten,https://immowelt.de/suche/deutschland/haeuser/mieten/haus-mit-garten
62966,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/haeuser/kaufen/villa,https://immowelt.de/suche/deutschland/haeuser/kaufen/villa
63486,Country|Region|Province|Municipality|Borough|Neighborhood,/suche/{0}/sozialwohnungen,https://immowelt.de/suche/deutschland/sozialwohnungen
