"ContextId","Alias","GeoLevel","LocationAvivGeoId","LocationName","LocationSlug","ExampleUrl","WhiteLabelUrl"
"24693","buy:apartment:bedrooms-4","Region","AD04FR5","Ile-de-France","","https://www.seloger.com/immobilier/achat/bien-appartement/type-4-chambres/ile-de-france.htm","https://www.seloger.com/recherche/achat/appartement/chambre-4/ile-de-france/ad04fr5"
"24693","buy:apartment:bedrooms-4","Province","AD06FR76","Paris (75)","","https://www.seloger.com/immobilier/achat/75/bien-appartement/type-4-chambres/","https://www.seloger.com/recherche/achat/appartement/chambre-4/ile-de-france/paris-75/ad06fr76"
"24693","buy:apartment:bedrooms-4","Municipality","AD08FR31096","Paris (tous codes postaux)","","https://www.seloger.com/immobilier/achat/immo-paris-75/bien-appartement/type-4-chambres/","https://www.seloger.com/recherche/achat/appartement/chambre-4/ile-de-france/paris-75000/ad08fr31096"
"24693","buy:apartment:bedrooms-4","Borough","AD09FR43","Paris 18ème arrondissement (75018)","","https://www.seloger.com/immobilier/achat/immo-paris-18eme-75/bien-appartement/type-4-chambres/","https://www.seloger.com/recherche/achat/appartement/chambre-4/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"15274","buy:apartment:rooms-1","Country","AD02FR1","France","","https://www.seloger.com/immobilier/pays/achat/bien-appartement/type-studio/france.htm","https://www.seloger.com/recherche/achat/appartement/piece-1/france/ad02fr1"
"15274","buy:apartment:rooms-1","Region","AD04FR5","Ile-de-France","","https://www.seloger.com/immobilier/achat/bien-appartement/type-studio/ile-de-france.htm","https://www.seloger.com/recherche/achat/appartement/piece-1/ile-de-france/ad04fr5"
"15274","buy:apartment:rooms-1","Province","AD06FR76","Paris (75)","","https://www.seloger.com/immobilier/achat/75/bien-appartement/type-studio/","https://www.seloger.com/recherche/achat/appartement/piece-1/ile-de-france/paris-75/ad06fr76"
"15274","buy:apartment:rooms-1","Municipality","AD08FR31096","Paris (tous codes postaux)","","https://www.seloger.com/immobilier/achat/immo-paris-75/bien-appartement/type-studio/","https://www.seloger.com/recherche/achat/appartement/piece-1/ile-de-france/paris-75000/ad08fr31096"
"15274","buy:apartment:rooms-1","Borough","AD09FR43","Paris 18ème arrondissement (75018)","","https://www.seloger.com/immobilier/achat/immo-paris-18eme-75/bien-appartement/type-studio/","https://www.seloger.com/recherche/achat/appartement/piece-1/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"72239","buy:apartment:rooms-1:balcony","Country","AD02FR1","France","","https://www.seloger.com/immobilier/pays/achat/bien-appartement/type-studio/commodite-terrasse/france.htm","https://www.seloger.com/recherche/achat/appartement/piece-1/balcon-terrasse/france/ad02fr1"
"72239","buy:apartment:rooms-1:balcony","Region","AD04FR5","Ile-de-France","","https://www.seloger.com/immobilier/achat/bien-appartement/type-studio/commodite-terrasse/ile-de-france.htm","https://www.seloger.com/recherche/achat/appartement/piece-1/balcon-terrasse/ile-de-france/ad04fr5"
"72239","buy:apartment:rooms-1:balcony","Province","AD06FR76","Paris (75)","","https://www.seloger.com/immobilier/achat/75/bien-appartement/type-studio/commodite-terrasse/","https://www.seloger.com/recherche/achat/appartement/piece-1/balcon-terrasse/ile-de-france/paris-75/ad06fr76"
"72239","buy:apartment:rooms-1:balcony","Municipality","AD08FR31096","Paris (tous codes postaux)","","https://www.seloger.com/immobilier/achat/immo-paris-75/bien-appartement/type-studio/commodite-terrasse/","https://www.seloger.com/recherche/achat/appartement/piece-1/balcon-terrasse/ile-de-france/paris-75000/ad08fr31096"
"72239","buy:apartment:rooms-1:balcony","Borough","AD09FR43","Paris 18ème arrondissement (75018)","","https://www.seloger.com/immobilier/achat/immo-paris-18eme-75/bien-appartement/type-studio/commodite-terrasse/","https://www.seloger.com/recherche/achat/appartement/piece-1/balcon-terrasse/paris-75000/paris-18eme-arrondissement-75018/ad09fr43"
"14925","buy:apartment:rooms-1:cheap","Country","AD02FR1","France","","https://www.seloger.com/immobilier/pays/achat/bien-appartement/type-studio/commodite-pascher/france.htm","https://www.seloger.com/recherche/achat/appartement/pas-cher/piece-1/france/ad02fr1"
"14925","buy:apartment:rooms-1:cheap","Region","AD04FR5","Ile-de-France","","https://www.seloger.com/immobilier/achat/bien-appartement/type-studio/commodite-pascher/ile-de-france.htm","https://www.seloger.com/recherche/achat/appartement/pas-cher/piece-1/ile-de-france/ad04fr5"
"14925","buy:apartment:rooms-1:cheap","Province","AD06FR76","Paris (75)","","https://www.seloger.com/immobilier/achat/75/bien-appartement/type-studio/commodite-pascher/","https://www.seloger.com/recherche/achat/appartement/pas-cher/piece-1/ile-de-france/paris-75/ad06fr76"
