ContextId,GeoLevel,LegacyUrlPattern,ExampleUrl
20697,Region,/immobilier/i/achat/bien-appartement/{match1}/commodite-pascher/,https://www.seloger.com/immobilier/i/achat/bien-appartement/bourgogne/commodite-pascher/
21489,Borough,/immobilier/achat/immo-{match2}/bien-hotel-particulier/,https://www.seloger.com/immobilier/achat/immo-paris-18eme-75/bien-hotel-particulier/
21489,Country,/immobilier/pays/achat/bien-hotel-particulier/{match2}.htm,https://www.seloger.com/immobilier/pays/achat/bien-hotel-particulier/vienne.htm
21489,MicroNeighborhood,/immobilier/achat/immo-{match2}/bien-hotel-particulier/,https://www.seloger.com/immobilier/achat/immo-cap-ferret-33/bien-hotel-particulier/
21489,Municipality,/immobilier/achat/immo-{match2}/bien-hotel-particulier/,https://www.seloger.com/immobilier/achat/immo-malakoff-92/bien-hotel-particulier/
21489,Neighborhood,/immobilier/achat/immo-{match1}/{match2}/bien-hotel-particulier/,https://www.seloger.com/immobilier/achat/immo-paris-11eme-75/quartier-bastille-popincourt/bien-hotel-particulier/
21489,Province,/immobilier/achat/{code}/bien-hotel-particulier/,https://www.seloger.com/immobilier/achat/89/bien-hotel-particulier/
21489,Region,/immobilier/achat/bien-hotel-particulier/{match1}.htm,https://www.seloger.com/immobilier/achat/bien-hotel-particulier/bourgogne.htm
21513,Borough,/immobilier/locations/immo-{match2}/bien-appartement/type-studio/,https://www.seloger.com/immobilier/locations/immo-paris-18eme-75/bien-appartement/type-studio/
21513,Country,/immobilier/pays/locations/bien-appartement/type-studio/{match2}.htm,https://www.seloger.com/immobilier/pays/locations/bien-appartement/type-studio/vienne.htm
21513,Municipality,/immobilier/locations/immo-{match2}/bien-appartement/type-studio/,https://www.seloger.com/immobilier/locations/immo-malakoff-92/bien-appartement/type-studio/
21513,Province,/immobilier/locations/{code}/bien-appartement/type-studio/,https://www.seloger.com/immobilier/locations/89/bien-appartement/type-studio/
21513,Region,/immobilier/locations/bien-appartement/type-studio/{match1}.htm,https://www.seloger.com/immobilier/locations/bien-appartement/type-studio/bourgogne.htm
22040,Borough,/immobilier/i/locations/immo-{match2}/bien-maison/commodite-terrasse/,https://www.seloger.com/immobilier/i/locations/immo-paris-18eme-75/bien-maison/commodite-terrasse/
22040,Country,/immobilier/pays/i/locations/bien-maison/{match2}/commodite-terrasse/,https://www.seloger.com/immobilier/pays/i/locations/bien-maison/vienne/commodite-terrasse/
22040,Municipality,/immobilier/i/locations/immo-{match2}/bien-maison/commodite-terrasse/,https://www.seloger.com/immobilier/i/locations/immo-malakoff-92/bien-maison/commodite-terrasse/
22040,Province,/immobilier/i/locations/{code}/bien-maison/commodite-terrasse/,https://www.seloger.com/immobilier/i/locations/89/bien-maison/commodite-terrasse/
22040,Region,/immobilier/i/locations/bien-maison/{match1}/commodite-terrasse/,https://www.seloger.com/immobilier/i/locations/bien-maison/bourgogne/commodite-terrasse/
22605,Borough,/immobilier/achat/immo-{match2}/bien-appartement/type-3-pieces/,https://www.seloger.com/immobilier/achat/immo-paris-18eme-75/bien-appartement/type-3-pieces/
22605,Country,/immobilier/pays/achat/bien-appartement/type-3-pieces/{match2}.htm,https://www.seloger.com/immobilier/pays/achat/bien-appartement/type-3-pieces/vienne.htm
22605,Municipality,/immobilier/achat/immo-{match2}/bien-appartement/type-3-pieces/,https://www.seloger.com/immobilier/achat/immo-malakoff-92/bien-appartement/type-3-pieces/
22605,Province,/immobilier/achat/{code}/bien-appartement/type-3-pieces/,https://www.seloger.com/immobilier/achat/89/bien-appartement/type-3-pieces/
22605,Region,/immobilier/achat/bien-appartement/type-3-pieces/{match1}.htm,https://www.seloger.com/immobilier/achat/bien-appartement/type-3-pieces/bourgogne.htm
22959,Borough,/immobilier/immo-{match2}/,https://www.seloger.com/immobilier/immo-paris-18eme-75/
22959,Country,/immobilier/pays/{match2}.htm,https://www.seloger.com/immobilier/pays/vienne.htm
22959,MicroNeighborhood,/immobilier/immo-{match2}/,https://www.seloger.com/immobilier/immo-cap-ferret-33/
22959,Municipality,/immobilier/immo-{match2}/,https://www.seloger.com/immobilier/immo-malakoff-92/
22959,Neighborhood,/immobilier/immo-{match1}/{match2}/,https://www.seloger.com/immobilier/immo-paris-11eme-75/quartier-bastille-popincourt/
22959,Province,/immobilier/{code}/,https://www.seloger.com/immobilier/89/
22959,Region,/immobilier/{match1}.htm,https://www.seloger.com/immobilier/bourgogne.htm
24289,Borough,/immobilier/i/achat/immo-{match2}/bien-maison/commodite-plainpied/,https://www.seloger.com/immobilier/i/achat/immo-paris-18eme-75/bien-maison/commodite-plainpied/
24289,Country,/immobilier/pays/i/achat/bien-maison/{match2}/commodite-plainpied/,https://www.seloger.com/immobilier/pays/i/achat/bien-maison/vienne/commodite-plainpied/
24289,MicroNeighborhood,/immobilier/i/achat/immo-{match2}/bien-maison/commodite-plainpied/,https://www.seloger.com/immobilier/i/achat/immo-cap-ferret-33/bien-maison/commodite-plainpied/
